,Geo Point,Geo Shape,gares_id,nom_long,nom,nom_sous,nom_sur,id_ref_lda,nom_lda,id_ref_zdl,nom_zdl,num_mod,mode,fer,train,rer,metro,tramway,navette,val,terfer,tertrain,terrer,termetro,tertram,ternavette,terval,idrefliga,idrefligc,ligne,indice_lig,res_com,exploitant,idf,principal,x,y,picto ligne,nom_iv,lat,lon
294,"48.83664331711109,2.152697400276264","{""coordinates"": [2.152697400276264, 48.83664331711109], ""type"": ""Point""}",876.0,Vaucresson,Vaucresson,,,70705.0,Vaucresson,43216.0,Vaucresson,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,637807.619099997,6859954.9043000005,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Vaucresson,48.83664331711109,2.152697400276264
311,"48.805477790854226,2.1676690319603966","{""coordinates"": [2.167669031960397, 48.805477790854226], ""type"": ""Point""}",914.0,Viroflay Rive Droite,Viroflay Rive Droite,,,422420.0,Viroflay Rive Droite,46689.0,Viroflay Rive Droite,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,638869.9754000008,6856478.068100002,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Viroflay Rive Droite,48.805477790854226,2.1676690319603966
312,"48.867366224900216,2.0512820494280524","{""coordinates"": [2.051282049428052, 48.867366224900216], ""type"": ""Point""}",831.0,Saint-Nom-la-Bretèche - Forêt de Marly,Saint-Nom-la-Bretèche - Forêt de Marly,,,64382.0,Saint-Nom-la-Bretèche Forêt de Marly,47954.0,Saint-Nom-la-Bretèche Forêt de Marly,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN L,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,1.0,630367.9219999984,6863503.3398,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Saint-Nom-la-Bretèche - Forêt de Marly,48.867366224900216,2.0512820494280524
491,"48.868064422326356,2.0767191026772913","{""coordinates"": [2.076719102677291, 48.868064422326356], ""type"": ""Point""}",464.0,L'Étang-la-Ville,L'Étang-la-Ville,,,73603.0,L'Étang-la-Ville,47937.0,L'Étang-la-Ville,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,632271.8740999997,6863511.0473,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,L'Étang-la-Ville,48.868064422326356,2.0767191026772913
512,"48.88338381290451,2.233691920150409","{""coordinates"": [2.233691920150409, 48.88338381290451], ""type"": ""Point""}",712.0,Puteaux,Puteaux,,,71422.0,Puteaux,43184.0,Puteaux,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,643802.8935000002,6865091.241799999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Puteaux,48.88338381290451,2.233691920150409
517,"48.85607083662427,2.2166014426812333","{""coordinates"": [2.216601442681233, 48.85607083662427], ""type"": ""Point""}",436.0,Le Val d'Or,Le Val d'Or,,,422067.0,Le Val d'Or,422065.0,Le Val d'Or,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,642519.4751000032,6862066.587299999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Le Val d'Or,48.85607083662427,2.2166014426812333
518,"48.9203793730037,2.185353376302864","{""coordinates"": [2.185353376302864, 48.9203793730037], ""type"": ""Point""}",1015.0,Houilles-Carrières-sur-Seine,Houilles-Carrières-sur-Seine,,,64741.0,Houilles - Carrières-sur-Seine,43082.0,Carrières-sur-Seine,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,640300.5562999994,6869240.401099999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Houilles-Carrières-sur-Seine,48.9203793730037,2.185353376302864
534,"48.90576265618636,2.2699647791945137","{""coordinates"": [2.269964779194514, 48.90576265618636], ""type"": ""Point""}",58.0,Bécon-les-Bruyères,Bécon-les-Bruyères,,,72124.0,Bécon les Bruyères,47923.0,Bécon les Bruyères,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,646485.8880999982,6867554.432700001,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Bécon-les-Bruyères,48.90576265618636,2.2699647791945137
673,"48.990332590132454,2.0739553087324234","{""coordinates"": [2.073955308732423, 48.990332590132454], ""type"": ""Point""}",1013.0,Conflans-Fin-d'Oise,Conflans-Fin-d'Oise,,,73605.0,Conflans Fin d'Oise,43114.0,Conflans Fin d'Oise,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,1.0,632228.5943000019,6877109.0,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Conflans-Fin-d'Oise,48.990332590132454,2.0739553087324234
710,"48.89763744699634,2.2974199481466626","{""coordinates"": [2.297419948146663, 48.89763744699634], ""type"": ""Point""}",191.0,Clichy-Levallois,Clichy-Levallois,,,72073.0,Clichy - Levallois,43112.0,Clichy - Levallois,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,648490.3539000005,6866632.691799998,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Clichy-Levallois,48.89763744699634,2.2974199481466626
